Question	Answer	Intent	Entities	Link
Now it's time for me to buy a flight ticket from China to New York. So I need to know whether I am required to attend SEAS welcome day on August 19th, 2016. Is attendance mandatory on that day?  If not, I may arrive in New York a few days later after that day. Otherwise, I will have to rearrange my travel plan and arrive in New York early.	While Grad SEAS Welcome Day activities are not mandatory, we strongly encourage incoming graduate students to attend to meet fellow classmates, administrators, and faculty. These activities are intended to help familiarize new students with University resources and build community before everyone gets busy with academics. That said, we understand there are unavoidable circumstances which may delay your arrival in New York.   Please join us for as many of the Fall Welcome Day activities listed here as possible.	Required	Welcome Day	
I am a newly admitted PhD student in electrical engineering beginning at Fall 2016.  I would like to ask a question about Welcome Day before buying my flight ticket. Is participating into Welcome Day on August 19 mandatory? Is it sufficient to participate in only the department specific orientation program?	You are strongly encouraged to attend the Welcome Day on August 19. The sessions will provide a lot of information that will allow you to activate your student status at Columbia and help you to understand the policies and processes for course registration and degree completion.	Required	Welcome Day	
I had accepted the offer for the MS in EE program on the 8th of April, 2016. Apart from the acknowledgement I had received after accepting the offer, I have not received any further correspondence from Columbia university. Also I am not able to activate my UNI. Sir, could you please look at the above situation and inform me as soon as something comes out of it.	Have you been able to activiate your UNI? It typically takes a few days to populate in our student information systems.	Issue	Uni	
I accepted my offer through the online portal last week and was expecting that I would be hearing from you today( MOnday, 25th April).  I have not received housing information, UNI and email id yet. Could you please look into this issue and resolve it soon?	To activate your UNI, please see instructions here.	Issue	Uni	
I think I had already successfully activate my UNI and applied for housing. Do I need to do them again?	No need to do anything twice.	Issue	Uni	
Before I activate my UNI, I was wondering if there is any way to get a simpler email address (e.g., msalama@columbia or mark.salama@columbia). I understand if that is not possible but thought I should ask.	Regarding your UNI, please activate as-is and create an alias for yourself; instructions for doing so are available here.	Issue	Uni, Alias	
I attended the housing webinar last week and I was wondering if I could get the presentation if possible to start preparing for housing	The Office of Graduate Student Affairs has prepared a presentation to help new students learn about University Apartment Housing policies and procedures, as well as the New York City rental market and apartment-search strategies. The slides are available here. The site password is SEAS2017.	Misc	Housing	
I am incoming doctoral student in SEAS' EE department. My facebook name is XXXX and the one on my Columbia application is XXXX. Please take this into consideration and add me to the Columbia Engineering - Housing Search Facebook group.		Application	Facebook Group	
I am also yet to receive information regarding UAH and UNI, though it has been a week since I accepted my offer through the university portal. Please look into this issue as well. I am worried that I might lose out on the opportunity to receive UAH because of unexpected delays at the university's end.	It takes several days for your information to populate in our student information systems. Please know housing decisions will not be made until July, so there is nothing to worry about.	Notification	UAH	
Is there any possibility that UAH would process the housing decision faster for individuals in special situations?	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application waitlisted.	Notification	UAH	
